NPS Classification;Country;Region;Reason 1;Reason 2;Reason 3;NPS;Comment
Promoter;BR;SP;O aplicativo é profissional;Mostra as posi??es de embarque e desembarque corretamente;Oferece ganhos bons e estáveis;10;Só acho que deveria rever os passageiros que n?o pagam a viagem vcs respondem dizendo que n?o pode fazer nada porém os passageiros abusam disso .
Promoter;BR;SP;Oferece boas parcerias para o motorista;Todos falam sobre a 99 de forma positiva;Tem regras justas;10;99 é vida
Promoter;BR;SP;Oferece boas funcionalidades de seguran?a;? seguro trabalhar com a 99;O aplicativo é profissional;10;A 99 tem que exigir um cadastro do passageiro maior \nCom CPF e foto \nPro motorista ficar mas seguro
Promoter;BR;SP;O aplicativo atende todas as minhas necessidades de trabalho;Oferece boas parcerias para o motorista;;10;Gosto muito de trabalhar com 99
Promoter;BR;SP;Oferece informa??es suficientes do passageiro;? seguro trabalhar com a 99;Todos falam sobre a 99 de forma positiva;10;Eu adoro trabalhar com a 99
Promoter;BR;SP;Mostra as posi??es de embarque e desembarque corretamente;Oferece uma visualiza??o clara e correta dos meus ganhos;? fácil receber meus ganhos na minha conta;10;Só faltou tem foto do passageiro \n
Promoter;BR;SP;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;? seguro trabalhar com a 99;O aplicativo atende todas as minhas necessidades de trabalho;10;Continue assim
Promoter;BR;SP;Oferece ganhos bons e estáveis;? fácil receber meus ganhos na minha conta;O aplicativo é fácil de ser utilizado;10;Muito bom a 99
Promoter;BR;SP;Oferece uma visualiza??o clara e correta dos meus ganhos;Oferece um atendimento ao consumidor de qualidade, com resposta rápida e solu??o eficiente;Oferece um atendimento ao consumidor fácil de entrar em contato;10;Acaba com essa ferramenta de cancelamento  para ambas as partes muito chato pra ambos .obrigado
Promoter;BR;SP;Tem regras justas;? fácil receber meus ganhos na minha conta;Os passageiros s?o educados e têm uma rota de viagem segura;9;Podia melhorar os cancelamento,os passageiros cancelam muito e n?o ganhos taxa,aí nos gastamos muito combustível
Promoter;BR;SP;Oferece uma rota segura de acordo com a prevista;Oferece ganhos bons e estáveis;Os passageiros s?o educados e têm uma rota de viagem segura;10;N?o estou recebendo minha taxa de cancelamento, passageiro chama n?o aparece, espero 5 minutos cancelo e n?o recebo, a maioria das corridas s?o muito longa para embarque, na maioria das vezes n?o compensa buscar, já tive chamada de 10km pra embarcar e a corrida era de 2km, se possível revejam isso, vcis s?o top.
Promoter;BR;SP;Oferece ganhos bons e estáveis;O aplicativo é fácil de ser utilizado;Oferece um atendimento ao consumidor fácil de entrar em contato;9;Poderia melhorar pra nós motoristas ver quantos passageiros v?o embarcar, as vezes quando chegamos no destino vem um rapaz e entra no carro e derepente diz que vai mais outros junto... O q torna perigoso, se v?o deveria estar juntos, n?o entrar um e depois aparecer outros do nada.
