NPS Classification;Country;Region;Reason 1;Reason 2;Reason 3;NPS;Comentário
Detractor;BR;SP;Os ganhos s?o poucos e inst??veis;Oferece um p??ssimo servi?o de atendimento, dif??cil de entrar em contato;N?o oferece uma visualiza??o clara e correta dos meus ganhos;6;Vcs deveriam mudar com rela??o ?? qdo aceitamos uma corrIda osdados do passageiro somem e eles deveriam continuar vis??veis para n??s motoristas. Outra sugest?o ?? pra que fosse informado na tela de aceita??o qdo uma corrida ?? mais longa
Detractor;BR;SP;N?o se importa com o motorista parceiro;N?o tem regras justas;? perigoso trabalhar com a 99;4;O tempo de espera de 5 minutos, ?? um absurdo!\nO passageiro n?o paga a corrida quando ?? no dinheiro e o motorista ?? prejudicado.\nVoc??s n?o d?o a m??nima para n??s os motoristas,n?o fornecem informa??es corretas,metedos de avalia??es pecimas, lament??vel trabalhar assim com voc??s,estou evitando a Trabalhar com voc??s at?? voc??s ter uma pol??tica mais segura,se quiserem podem me chamar para uma Reuni?o e ajudar de alguma forma, fa?o parte de grupos no whatsapp com motoristas,onde n??s tentamos nos ajudar
Neutral;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;Oferece poucas informa??es do passageiro;Os ganhos s?o poucos e inst??veis;7;A 99 n?o deveria punir os motoristas por recusarem corridas que n?o consideram seguras ou lucrativas. Deveria ter um adicional para quem trabalha de noite. A nuvem do multiplicador n?o reflete a realidade, muitas vezes estou no meio de uma nuvem de 2.0 E toca dentro da nuvem sem multiplicador. A taxa de aceita??o est?? diminuindo mesmo quando o problema ?? erro de rede. Deveria mostrar de forma clara qual a taxa que ela cobra dos motoristas em cada corrida.
Detractor;BR;SP;? perigoso trabalhar com a 99;As ferramentas de seguran?a n?o ajudam com uma viagem segura;Muitas corridas iniciam ou se encerram em ??reas de risco;5;Estou me sentindo inseguro para dirigir na 99, a impress?o que d?? ?? que QQ pessoa com celular se cadastra sem ao menos uma triagem. Acho que o cadastro de pessoas deveria exigir mais documentos, fotos com os documentos, e mais informa??es. A Uber ?? bem criteriosa nisso, seria legal vcs serem tbm. Obg
Detractor;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;As ferramentas de seguran?a n?o ajudam com uma viagem segura;;6;
Neutral;BR;SP;Oferece poucas informa??es do passageiro;O passageiro ?? mal-educado, atrasado, bagunceiro e destr??i o meu carro;Muitas corridas iniciam ou se encerram em ??reas de risco;8;Evitar de chamar para terceiros, mostras foto do passageiro, diminuir o tempo de embarque.
Neutral;BR;SP;N?o mostra o local de embarque e desembarque com precis?o;;;8;Tem muitos problemas com diverg??ncias de endere?os por exemplo eu tive problema com uma corrida que era para um ponto na avenida Paulista e o aplicativo indicava a outro
Neutral;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;As ferramentas de seguran?a n?o ajudam com uma viagem segura;? dif??cil receber meus ganhos na minha conta;7;Boa tarde, tinha q dar um jeito do motorista ser obrigado ?? avaliar todos os passageiros ou mostrar se ?? um passageiro veterano ou iniciante a 99 at?? faz isso ,mas n?o ?? em todas as corridas...incentivar os passageiros a usarem pagamento via voucher,para q o saldo n?o fique negativo...e os pagamentos em conta deveria ser fechada a semana no domingo para q ajude os motoristas a ter um controle de seus ganhos!!..obrigado
Detractor;BR;SP;O aplicativo n?o ?? profissional;Os ganhos s?o poucos e inst??veis;Oferece poucas informa??es do passageiro;6;Corridas canceladas n?o s?o pagas cliente cancela e motorista que se dane valor de cancelamento e rid??culo j?? que sou bloqueado se cancelo corridas o passageiro que pague uma taxa de 10,00 para o motorista assim para essa palha?ada
Detractor;BR;SP;O passageiro ?? mal-educado, atrasado, bagunceiro e destr??i o meu carro;;;6;
Detractor;BR;SP;O aplicativo n?o atende minhas necessidades de trabalho;N?o tem regras justas;N?o se importa com o motorista parceiro;5;Existem muitas melhorias para ser feitas, a 99 deve ouvir as dificuldades dos motoristas, e dar a chance de defesa antes da puni??o, muitos cancelamentos s?o feitos antes de iniciar a corrida por motivos justos observados pelos motoristas, e m amo assim primeiro s?o punidos e nunca s?o ouvido. Primeiro causam o preju??zo, s m chanc de recurso ou defesa. Injusto a forma e as penalidades de quem ajuda a 99 no dia a dia.
Neutral;BR;SP;As ferramentas de seguran?a n?o ajudam com uma viagem segura;Oferece um p??ssimo servi?o de atendimento, dif??cil de entrar em contato;Oferece poucas informa??es do passageiro;8;
Neutral;BR;SP;? perigoso trabalhar com a 99;;;8;Op??o para que eu possa trabalhar em minha regi?o no dia do rod??zio do carro...como eu moro na zona norte existe a op??o de se trabalhar na minha area...
Detractor;BR;SP;O aplicativo n?o atende minhas necessidades de trabalho;? perigoso trabalhar com a 99;;5;Trabalho a noite e voc??s n?o oferecem benef??cios para quem trabalha a noite a partir das 22
Neutral;BR;SP;O passageiro ?? mal-educado, atrasado, bagunceiro e destr??i o meu carro;Oferece poucas informa??es do passageiro;? perigoso trabalhar com a 99;7;Passageiro inventar que coloca forma em cart?o e cai no dinheiro
Detractor;BR;SP;Muitas corridas iniciam ou se encerram em ??reas de risco;;;5;
